"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"AC Milan","Serie A","Italy","Enrico Albertosi","https://www.transfermarkt.com/enrico-albertosi/profil/spieler/145362","Goalkeeper",37,"Italy",32,32,0,2824,1977
"AC Milan","Serie A","Italy","Francesco Navazzotti","https://www.transfermarkt.com/francesco-navazzotti/profil/spieler/433686","Goalkeeper",22,"Italy",1,0,0,0,1977
"AC Milan","Serie A","Italy","Antonio Rigamonti","https://www.transfermarkt.com/antonio-rigamonti/profil/spieler/341124","Goalkeeper",28,"Italy",34,7,0,596,1977
"AC Milan","Serie A","Italy","Antonio Vettore","https://www.transfermarkt.com/antonio-vettore/profil/spieler/249012","Goalkeeper",17,"Italy",3,0,0,0,1977
"AC Milan","Serie A","Italy","Franco Baresi","https://www.transfermarkt.com/franco-baresi/profil/spieler/42049","Sweeper",17,"Italy",4,3,0,207,1977
"AC Milan","Serie A","Italy","Aldo Bet","https://www.transfermarkt.com/aldo-bet/profil/spieler/255302","Centre-Back",28,"Italy",32,32,0,2791,1977
"AC Milan","Serie A","Italy","Simone Boldini","https://www.transfermarkt.com/simone-boldini/profil/spieler/222969","Right-Back",23,"Italy",28,12,0,883,1977
"AC Milan","Serie A","Italy","Fulvio Collovati","https://www.transfermarkt.com/fulvio-collovati/profil/spieler/116697","Centre-Back",20,"Italy",31,30,2,2607,1977
"AC Milan","Serie A","Italy","Aldo Maldera","https://www.transfermarkt.com/aldo-maldera/profil/spieler/135787","Left-Back",23,"Italy",30,30,9,2700,1977
"AC Milan","Serie A","Italy","Giuseppe Sabadini","https://www.transfermarkt.com/giuseppe-sabadini/profil/spieler/145365","Right-Back",28,"Italy",29,21,0,1728,1977
"AC Milan","Serie A","Italy","Maurizio Turone","https://www.transfermarkt.com/maurizio-turone/profil/spieler/251042","Sweeper",28,"Italy",29,29,2,2560,1977
"AC Milan","Serie A","Italy","Sergio Valentinuzzi","https://www.transfermarkt.com/sergio-valentinuzzi/profil/spieler/601126","midfield",17,"Italy",1,1,1,44,1977
"AC Milan","Serie A","Italy","Giorgio Morini","https://www.transfermarkt.com/giorgio-morini/profil/spieler/301779","Defensive Midfield",29,"Italy",33,33,0,2754,1977
"AC Milan","Serie A","Italy","Giorgio Biasiolo","https://www.transfermarkt.com/giorgio-biasiolo/profil/spieler/145522","Defensive Midfield",31,"Italy",3,1,0,66,1977
"AC Milan","Serie A","Italy","Alberto Bigon","https://www.transfermarkt.com/alberto-bigon/profil/spieler/145523","Attacking Midfield",29,"Italy",30,30,7,2600,1977
"AC Milan","Serie A","Italy","Ruben Buriani","https://www.transfermarkt.com/ruben-buriani/profil/spieler/215583","Central Midfield",22,"Italy",33,33,4,2947,1977
"AC Milan","Serie A","Italy","Fabio Capello","https://www.transfermarkt.com/fabio-capello/profil/spieler/145345","Central Midfield",31,"Italy",35,35,4,3086,1977
"AC Milan","Serie A","Italy","Gabriello Carotti","https://www.transfermarkt.com/gabriello-carotti/profil/spieler/263782","midfield",16,"Italy",7,4,0,124,1977
"AC Milan","Serie A","Italy","Gianni Rivera","https://www.transfermarkt.com/gianni-rivera/profil/spieler/145347","Attacking Midfield",33,"Italy",36,36,7,3221,1977
"AC Milan","Serie A","Italy","Giovanni Sartori","https://www.transfermarkt.com/giovanni-sartori/profil/spieler/447895","Attack",20,"Italy",5,5,5,375,1977
"AC Milan","Serie A","Italy","Roberto Antonelli","https://www.transfermarkt.com/roberto-antonelli/profil/spieler/301773","Right Winger",24,"Italy",20,17,2,1283,1977
"AC Milan","Serie A","Italy","Egidio Calloni","https://www.transfermarkt.com/egidio-calloni/profil/spieler/255304","Centre-Forward",24,"Italy",26,25,3,1622,1977
"AC Milan","Serie A","Italy","Luciano Gaudino","https://www.transfermarkt.com/luciano-gaudino/profil/spieler/460029","Attack",18,"Italy",15,12,2,879,1977
"AC Milan","Serie A","Italy","Ugo Tosetto","https://www.transfermarkt.com/ugo-tosetto/profil/spieler/447900","Right Winger",23,"Italy",31,27,1,1700,1977
"Juventus FC","Serie A","Italy","Dino Zoff","https://www.transfermarkt.com/dino-zoff/profil/spieler/89229","Goalkeeper",35,"Italy",41,41,0,3750,1977
"Juventus FC","Serie A","Italy","Giancarlo Alessandrelli","https://www.transfermarkt.com/giancarlo-alessandrelli/profil/spieler/299487","Goalkeeper",25,"Italy",35,7,0,630,1977
"Juventus FC","Serie A","Italy","Luciano Marchese","https://www.transfermarkt.com/luciano-marchese/profil/spieler/452856","Goalkeeper",18,"Italy",2,0,0,0,1977
"Juventus FC","Serie A","Italy","Francesco Morini","https://www.transfermarkt.com/francesco-morini/profil/spieler/145341","Defender",32,"Italy",38,38,0,3406,1977
"Juventus FC","Serie A","Italy","Gaetano Scirea","https://www.transfermarkt.com/gaetano-scirea/profil/spieler/116740","Sweeper",24,"Italy",38,37,0,3346,1977
"Juventus FC","Serie A","Italy","Luciano Miani","https://www.transfermarkt.com/luciano-miani/profil/spieler/336139","Sweeper",21,"Italy",5,5,0,450,1977
"Juventus FC","Serie A","Italy","Fabio Francisca","https://www.transfermarkt.com/fabio-francisca/profil/spieler/601322","Defender",18,"Italy",4,4,0,242,1977
"Juventus FC","Serie A","Italy","Lorenzo Cascella","https://www.transfermarkt.com/lorenzo-cascella/profil/spieler/601886","Defender",17,"Italy",2,2,0,125,1977
"Juventus FC","Serie A","Italy","Claudio Gentile","https://www.transfermarkt.com/claudio-gentile/profil/spieler/128893","Right-Back",23,"Italy",39,39,3,3445,1977
"Juventus FC","Serie A","Italy","Antonello Cuccureddu","https://www.transfermarkt.com/antonello-cuccureddu/profil/spieler/135785","Right-Back",27,"Italy",41,41,2,3672,1977
"Juventus FC","Serie A","Italy","Antonio Cabrini","https://www.transfermarkt.com/antonio-cabrini/profil/spieler/116689","Left-Back",19,"Italy",38,25,0,1783,1977
"Juventus FC","Serie A","Italy","Luciano Spinosi","https://www.transfermarkt.com/luciano-spinosi/profil/spieler/145192","Centre-Back",27,"Italy",29,20,1,1786,1977
"Juventus FC","Serie A","Italy","Gian Piero Gasperini","https://www.transfermarkt.com/gian-piero-gasperini/profil/spieler/148350","midfield",19,"Italy",6,6,1,506,1977
"Juventus FC","Serie A","Italy","Mariano Marchetti","https://www.transfermarkt.com/mariano-marchetti/profil/spieler/366977","midfield",17,"Italy",2,2,0,114,1977
"Juventus FC","Serie A","Italy","Massimo Tolfo","https://www.transfermarkt.com/massimo-tolfo/profil/spieler/578986","midfield",18,"Italy",5,5,0,246,1977
"Juventus FC","Serie A","Italy","Amilcare Magnani","https://www.transfermarkt.com/amilcare-magnani/profil/spieler/601323","midfield",17,"Italy",4,4,0,279,1977
"Juventus FC","Serie A","Italy","Antonio Geissa","https://www.transfermarkt.com/antonio-geissa/profil/spieler/601324","midfield",17,"Italy",5,5,0,419,1977
"Juventus FC","Serie A","Italy","Lorenzo Granaglia","https://www.transfermarkt.com/lorenzo-granaglia/profil/spieler/601888","midfield",17,"Italy",1,1,0,18,1977
