"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"ACF Fiorentina","Serie A","Italy","Luigi Griffanti","https://www.transfermarkt.com/luigi-griffanti/profil/spieler/188549","Goalkeeper",23,"Italy",30,30,0,2700,1940
"ACF Fiorentina","Serie A","Italy","Ugo Innocenti","https://www.transfermarkt.com/ugo-innocenti/profil/spieler/559039","Goalkeeper",24,"Italy",3,3,0,270,1940
"ACF Fiorentina","Serie A","Italy","Giuseppe Geigerle","https://www.transfermarkt.com/giuseppe-geigerle/profil/spieler/544523","Defender",31,"Italy",25,25,0,2250,1940
"ACF Fiorentina","Serie A","Italy","Mario Lovati","https://www.transfermarkt.com/mario-lovati/profil/spieler/566306","Right-Back",23,"Italy",10,10,0,900,1940
"ACF Fiorentina","Serie A","Italy","Carlo Piccardi","https://www.transfermarkt.com/carlo-piccardi/profil/spieler/559539","Defender",20,"Italy",30,30,1,2700,1940
"ACF Fiorentina","Serie A","Italy","Armando Frigo","https://www.transfermarkt.com/armando-frigo/profil/spieler/562635","midfield",22,"Italy",12,12,0,1080,1940
"ACF Fiorentina","Serie A","Italy","Giuseppe Bigogno","https://www.transfermarkt.com/giuseppe-bigogno/profil/spieler/394459","Defensive Midfield",30,"Italy",22,22,0,1980,1940
"ACF Fiorentina","Serie A","Italy","Giacinto Ellena","https://www.transfermarkt.com/giacinto-ellena/profil/spieler/547517","Defensive Midfield",25,"Italy",33,33,0,2970,1940
"ACF Fiorentina","Serie A","Italy","Poggi II","https://www.transfermarkt.com/poggi-ii/profil/spieler/548578","midfield",27,"Italy",33,33,2,2970,1940
"ACF Fiorentina","Serie A","Italy","Ferruccio Valcareggi","https://www.transfermarkt.com/ferruccio-valcareggi/profil/spieler/145377","midfield",21,"Italy",32,32,7,2880,1940
"ACF Fiorentina","Serie A","Italy","Giuseppe Baldini","https://www.transfermarkt.com/giuseppe-baldini/profil/spieler/516166","Attack",18,"Italy",28,28,5,2520,1940
"ACF Fiorentina","Serie A","Italy","Menti III","https://www.transfermarkt.com/menti-iii/profil/spieler/301831","Right Winger",20,"Italy",32,32,18,2790,1940
"ACF Fiorentina","Serie A","Italy","Pietro Degano","https://www.transfermarkt.com/pietro-degano/profil/spieler/556941","Attack",20,"Italy",14,14,5,1260,1940
"ACF Fiorentina","Serie A","Italy","Dante Di Benedetti","https://www.transfermarkt.com/dante-di-benedetti/profil/spieler/553964","Attack",23,"Italy",31,31,14,2790,1940
"ACF Fiorentina","Serie A","Italy","Engelbert Koenig","https://www.transfermarkt.com/engelbert-koenig/profil/spieler/555255","Attack",20,"Austria",2,2,1,180,1940
"ACF Fiorentina","Serie A","Italy","Giovacchino Magherini","https://www.transfermarkt.com/giovacchino-magherini/profil/spieler/566268","Left Winger",21,"Italy",3,3,1,270,1940
"ACF Fiorentina","Serie A","Italy","Pasquale Morisco","https://www.transfermarkt.com/pasquale-morisco/profil/spieler/563008","Attack",20,"Italy",7,7,3,630,1940
"ACF Fiorentina","Serie A","Italy","Romano Penzo","https://www.transfermarkt.com/romano-penzo/profil/spieler/554067","Attack",20,"Italy",16,16,7,1350,1940
