"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Torino FC","Serie A","Italy","Vincenzo Bosia","https://www.transfermarkt.com/vincenzo-bosia/profil/spieler/402582","Goalkeeper",28,"Italy",11,11,0,990,1935
"Torino FC","Serie A","Italy","Giuseppe Maina","https://www.transfermarkt.com/giuseppe-maina/profil/spieler/546207","Goalkeeper",26,"Italy",28,28,0,2550,1935
"Torino FC","Serie A","Italy","Antonio Janni","https://www.transfermarkt.com/antonio-janni/profil/spieler/318623","Defender",30,"Italy",25,25,1,2280,1935
"Torino FC","Serie A","Italy","Cesare Martin","https://www.transfermarkt.com/cesare-martin/profil/spieler/429075","Defender",34,"Italy",1,1,0,90,1935
"Torino FC","Serie A","Italy","Luigi Brunella","https://www.transfermarkt.com/luigi-brunella/profil/spieler/407848","Right-Back",21,"Italy",20,20,0,1830,1935
"Torino FC","Serie A","Italy","Osvaldo Ferrini","https://www.transfermarkt.com/osvaldo-ferrini/profil/spieler/546423","Defender",21,"Italy",37,37,0,3351,1935
"Torino FC","Serie A","Italy","Mario Zanello","https://www.transfermarkt.com/mario-zanello/profil/spieler/429239","Defender",31,"Italy",19,19,0,1710,1935
"Torino FC","Serie A","Italy","Federico Allasio","https://www.transfermarkt.com/federico-allasio/profil/spieler/364343","Central Midfield",21,"Italy",18,18,1,1650,1935
"Torino FC","Serie A","Italy","Fioravante Baldi","https://www.transfermarkt.com/fioravante-baldi/profil/spieler/370772","midfield",22,"Italy",32,32,13,2880,1935
"Torino FC","Serie A","Italy","Mario Bo","https://www.transfermarkt.com/mario-bo/profil/spieler/396179","midfield",22,"Italy",33,33,11,3000,1935
"Torino FC","Serie A","Italy","Pietro Buscaglia","https://www.transfermarkt.com/pietro-buscaglia/profil/spieler/177825","Central Midfield",24,"Italy",33,33,19,3000,1935
"Torino FC","Serie A","Italy","Giacinto Ellena","https://www.transfermarkt.com/giacinto-ellena/profil/spieler/547517","Defensive Midfield",20,"Italy",24,24,1,2160,1935
"Torino FC","Serie A","Italy","Cesare Gallea","https://www.transfermarkt.com/cesare-gallea/profil/spieler/276661","midfield",17,"Italy",12,12,0,1080,1935
"Torino FC","Serie A","Italy","Alessandro Lattuada","https://www.transfermarkt.com/alessandro-lattuada/profil/spieler/548561","Right Midfield",21,"Italy",2,2,0,180,1935
"Torino FC","Serie A","Italy","Mario Manfredi","https://www.transfermarkt.com/mario-manfredi/profil/spieler/545218","midfield",24,"Italy",1,1,0,90,1935
"Torino FC","Serie A","Italy","Onesto Silano","https://www.transfermarkt.com/onesto-silano/profil/spieler/545453","Attack",24,"Italy",37,37,14,3360,1935
"Torino FC","Serie A","Italy","Carlo Azzimonti","https://www.transfermarkt.com/carlo-azzimonti/profil/spieler/544293","Attack",21,"Italy",10,10,0,900,1935
