"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Juventus FC","Serie A","Italy","Luciano Bodini","https://www.transfermarkt.com/luciano-bodini/profil/spieler/221211","Goalkeeper",26,"Italy",28,0,0,0,1980
"Juventus FC","Serie A","Italy","Renato Carraro","https://www.transfermarkt.com/renato-carraro/profil/spieler/406185","Goalkeeper",23,"Italy",3,0,0,0,1980
"Juventus FC","Serie A","Italy","Dino Zoff","https://www.transfermarkt.com/dino-zoff/profil/spieler/89229","Goalkeeper",38,"Italy",42,42,0,3810,1980
"Juventus FC","Serie A","Italy","Gaetano Scirea","https://www.transfermarkt.com/gaetano-scirea/profil/spieler/116740","Sweeper",27,"Italy",41,41,5,3571,1980
"Juventus FC","Serie A","Italy","Sergio Brio","https://www.transfermarkt.com/sergio-brio/profil/spieler/209645","Centre-Back",23,"Italy",18,8,0,527,1980
"Juventus FC","Serie A","Italy","Antonio Cabrini","https://www.transfermarkt.com/antonio-cabrini/profil/spieler/116689","Left-Back",22,"Italy",38,38,11,3282,1980
"Juventus FC","Serie A","Italy","Antonello Cuccureddu","https://www.transfermarkt.com/antonello-cuccureddu/profil/spieler/135785","Right-Back",30,"Italy",35,35,1,3016,1980
"Juventus FC","Serie A","Italy","Claudio Gentile","https://www.transfermarkt.com/claudio-gentile/profil/spieler/128893","Right-Back",26,"Italy",37,37,0,3286,1980
"Juventus FC","Serie A","Italy","Carlo Osti","https://www.transfermarkt.com/carlo-osti/profil/spieler/222983","Right-Back",22,"Italy",30,12,0,972,1980
"Juventus FC","Serie A","Italy","Massimo Storgato","https://www.transfermarkt.com/massimo-storgato/profil/spieler/224596","Centre-Back",19,"Italy",12,4,0,360,1980
"Juventus FC","Serie A","Italy","Liam Brady","https://www.transfermarkt.com/liam-brady/profil/spieler/165411","Attacking Midfield",24,"Ireland",39,39,9,3400,1980
"Juventus FC","Serie A","Italy","Pietro Fanna","https://www.transfermarkt.com/pietro-fanna/profil/spieler/227468","Attacking Midfield",22,"Italy",40,40,9,3326,1980
"Juventus FC","Serie A","Italy","Giuseppe Furino","https://www.transfermarkt.com/giuseppe-furino/profil/spieler/204979","Central Midfield",33,"Italy",33,33,1,2863,1980
"Juventus FC","Serie A","Italy","Gabriele Pin","https://www.transfermarkt.com/gabriele-pin/profil/spieler/120410","Central Midfield",18,"Italy",1,0,0,0,1980
"Juventus FC","Serie A","Italy","Cesare Prandelli","https://www.transfermarkt.com/cesare-prandelli/profil/spieler/166767","Defensive Midfield",22,"Italy",38,29,1,1499,1980
"Juventus FC","Serie A","Italy","Marco Tardelli","https://www.transfermarkt.com/marco-tardelli/profil/spieler/116744","Central Midfield",25,"Italy",37,37,8,3316,1980
"Juventus FC","Serie A","Italy","Vinicio Verza","https://www.transfermarkt.com/vinicio-verza/profil/spieler/221919","Right Midfield",22,"Italy",40,24,3,985,1980
"Juventus FC","Serie A","Italy","Franco Causio","https://www.transfermarkt.com/franco-causio/profil/spieler/128882","Right Winger",31,"Italy",39,34,3,2338,1980
"Juventus FC","Serie A","Italy","Roberto Bettega","https://www.transfermarkt.com/roberto-bettega/profil/spieler/135784","Centre-Forward",29,"Italy",37,37,10,3321,1980
"Juventus FC","Serie A","Italy","Giuseppe Galderisi","https://www.transfermarkt.com/giuseppe-galderisi/profil/spieler/116705","Second Striker",17,"Italy",7,2,0,60,1980
"Juventus FC","Serie A","Italy","Domenico Marocchino","https://www.transfermarkt.com/domenico-marocchino/profil/spieler/209656","Right Winger",23,"Italy",37,30,5,1940,1980
"SSC Napoli","Serie A","Italy","Luciano Castellini","https://www.transfermarkt.com/luciano-castellini/profil/spieler/145376","Goalkeeper",34,"Italy",34,34,0,2994,1980
"SSC Napoli","Serie A","Italy","Pasquale Fiore","https://www.transfermarkt.com/pasquale-fiore/profil/spieler/341225","Goalkeeper",26,"Italy",28,1,0,66,1980
"SSC Napoli","Serie A","Italy","Raffaele Di Fusco","https://www.transfermarkt.com/raffaele-di-fusco/profil/spieler/86766","Goalkeeper",18,"Italy",1,0,0,0,1980
