"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"ACF Fiorentina","Serie A","Italy","Pietro Carmignani","https://www.transfermarkt.com/pietro-carmignani/profil/spieler/412255","Goalkeeper",33,"Italy",27,2,0,154,1978
"ACF Fiorentina","Serie A","Italy","Giovanni Galli","https://www.transfermarkt.com/giovanni-galli/profil/spieler/116706","Goalkeeper",20,"Italy",32,32,0,2880,1978
"ACF Fiorentina","Serie A","Italy","Mario Paradisi","https://www.transfermarkt.com/mario-paradisi/profil/spieler/169662","Goalkeeper",19,"Italy",5,1,0,26,1978
"ACF Fiorentina","Serie A","Italy","Armando Ferroni","https://www.transfermarkt.com/armando-ferroni/profil/spieler/223461","Left-Back",17,"Italy",9,3,0,192,1978
"ACF Fiorentina","Serie A","Italy","Roberto Galbiati","https://www.transfermarkt.com/roberto-galbiati/profil/spieler/227276","Sweeper",20,"Italy",34,34,0,2984,1978
"ACF Fiorentina","Serie A","Italy","Giancarlo Galdiolo","https://www.transfermarkt.com/giancarlo-galdiolo/profil/spieler/432641","Right-Back",29,"Italy",28,25,1,2175,1978
"ACF Fiorentina","Serie A","Italy","Giuseppe Lelj","https://www.transfermarkt.com/giuseppe-lelj/profil/spieler/406184","Left-Back",25,"Italy",33,33,1,2950,1978
"ACF Fiorentina","Serie A","Italy","Marco Marchi","https://www.transfermarkt.com/marco-marchi/profil/spieler/313502","Defender",21,"Italy",20,9,0,630,1978
"ACF Fiorentina","Serie A","Italy","Alessio Tendi","https://www.transfermarkt.com/alessio-tendi/profil/spieler/336135","Defender",25,"Italy",29,28,0,2476,1978
"ACF Fiorentina","Serie A","Italy","Mauro Amenta","https://www.transfermarkt.com/mauro-amenta/profil/spieler/265718","Left-Back",24,"Italy",27,26,5,2058,1978
"ACF Fiorentina","Serie A","Italy","Paolo Rosi","https://www.transfermarkt.com/paolo-rosi/profil/spieler/369573","midfield",24,"Italy",3,3,0,173,1978
"ACF Fiorentina","Serie A","Italy","Giancarlo Antognoni","https://www.transfermarkt.com/giancarlo-antognoni/profil/spieler/128892","Attacking Midfield",24,"Italy",31,31,0,2790,1978
"ACF Fiorentina","Serie A","Italy","Piero Braglia","https://www.transfermarkt.com/piero-braglia/profil/spieler/336522","midfield",23,"Italy",2,1,0,44,1978
"ACF Fiorentina","Serie A","Italy","Luciano Bruni","https://www.transfermarkt.com/luciano-bruni/profil/spieler/221915","midfield",17,"Italy",15,15,0,1032,1978
