"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Inter Milan","Serie A","Italy","Vid Belec","https://www.transfermarkt.com/vid-belec/profil/spieler/73090","Goalkeeper",17,"Slovenia",0,0,0,0,2007
"Inter Milan","Serie A","Italy","Enrico Alfonso","https://www.transfermarkt.com/enrico-alfonso/profil/spieler/34334","Goalkeeper",19,"Italy",3,1,0,90,2007
"Inter Milan","Serie A","Italy","Paolo Tornaghi","https://www.transfermarkt.com/paolo-tornaghi/profil/spieler/45583","Goalkeeper",19,"Italy",0,0,0,0,2007
"Inter Milan","Serie A","Italy","Francesco Toldo","https://www.transfermarkt.com/francesco-toldo/profil/spieler/5769","Goalkeeper",35,"Italy",37,8,0,662,2007
"Inter Milan","Serie A","Italy","Júlio César","https://www.transfermarkt.com/julio-cesar/profil/spieler/22412","Goalkeeper",27,"Brazil",47,44,0,3882,2007
"Inter Milan","Serie A","Italy","Paolo Orlandoni","https://www.transfermarkt.com/paolo-orlandoni/profil/spieler/21797","Goalkeeper",34,"Italy",21,3,0,224,2007
"Inter Milan","Serie A","Italy","Iván Córdoba","https://www.transfermarkt.com/ivan-cordoba/profil/spieler/5772","Centre-Back",30,"Colombia",29,27,3,2415,2007
"Inter Milan","Serie A","Italy","Javier Zanetti","https://www.transfermarkt.com/javier-zanetti/profil/spieler/1161","Right-Back",33,"Argentina",51,51,1,4197,2007
"Inter Milan","Serie A","Italy","Maxwell","https://www.transfermarkt.com/maxwell/profil/spieler/4317","Left-Back",25,"Brazil",46,43,0,3465,2007
"Inter Milan","Serie A","Italy","Maicon","https://www.transfermarkt.com/maicon/profil/spieler/18301","Right-Back",25,"Brazil",39,39,1,3259,2007
"Inter Milan","Serie A","Italy","Nicolás Burdisso","https://www.transfermarkt.com/nicolas-burdisso/profil/spieler/3417","Centre-Back",26,"Argentina",42,33,1,2456,2007
"Inter Milan","Serie A","Italy","Francesco Coco","https://www.transfermarkt.com/francesco-coco/profil/spieler/3508","Left-Back",30,"Italy",0,0,0,0,2007
"Inter Milan","Serie A","Italy","Marco Materazzi","https://www.transfermarkt.com/marco-materazzi/profil/spieler/5778","Centre-Back",33,"Italy",34,31,1,1973,2007
"Inter Milan","Serie A","Italy","Nelson Rivas","https://www.transfermarkt.com/nelson-rivas/profil/spieler/52580","Centre-Back",24,"Colombia",33,19,0,1335,2007
"Inter Milan","Serie A","Italy","Walter Samuel","https://www.transfermarkt.com/walter-samuel/profil/spieler/5938","Centre-Back",29,"Argentina",22,18,1,1559,2007
"Inter Milan","Serie A","Italy","Cristian Chivu","https://www.transfermarkt.com/cristian-chivu/profil/spieler/4314","Centre-Back",26,"Romania",39,36,0,2815,2007
"Inter Milan","Serie A","Italy","Dennis Esposito","https://www.transfermarkt.com/dennis-esposito/profil/spieler/84565","Centre-Back",19,"Italy",3,0,0,0,2007
"Inter Milan","Serie A","Italy","Daniele Federici","https://www.transfermarkt.com/daniele-federici/profil/spieler/86344","Left-Back",19,"Italy",1,0,0,0,2007
"Inter Milan","Serie A","Italy","Ivan Fatic","https://www.transfermarkt.com/ivan-fatic/profil/spieler/68078","Centre-Back",18,"Montenegro",5,2,0,180,2007
"Inter Milan","Serie A","Italy","Daniele Pedrelli","https://www.transfermarkt.com/daniele-pedrelli/profil/spieler/82838","Left-Back",19,"Italy",2,0,0,0,2007
"Inter Milan","Serie A","Italy","Marco Filippini","https://www.transfermarkt.com/marco-filippini/profil/spieler/104587","Defender",18,"Italy",3,1,0,7,2007
"Inter Milan","Serie A","Italy","Alberto Gerbo","https://www.transfermarkt.com/alberto-gerbo/profil/spieler/88690","Central Midfield",17,"Italy",1,0,0,0,2007
"Inter Milan","Serie A","Italy","Dejan Stanković","https://www.transfermarkt.com/dejan-stankovi%C4%87/profil/spieler/3428","Central Midfield",28,"Serbia",33,31,1,2363,2007
"Inter Milan","Serie A","Italy","Luis Jiménez","https://www.transfermarkt.com/luis-jimenez/profil/spieler/21821","Attacking Midfield",23,"Chile",34,22,4,1146,2007
"Inter Milan","Serie A","Italy","Patrick Vieira","https://www.transfermarkt.com/patrick-vieira/profil/spieler/3183","Defensive Midfield",31,"France",23,23,3,1436,2007
"Inter Milan","Serie A","Italy","Olivier Dacourt","https://www.transfermarkt.com/olivier-dacourt/profil/spieler/3572","Defensive Midfield",32,"France",16,13,0,743,2007
"Inter Milan","Serie A","Italy","Esteban Cambiasso","https://www.transfermarkt.com/esteban-cambiasso/profil/spieler/7520","Defensive Midfield",26,"Argentina",46,44,8,3602,2007
