"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Torino FC","Serie A","Italy","Domenico Doardo","https://www.transfermarkt.com/domenico-doardo/profil/spieler/21862","Goalkeeper",20,"Italy",23,9,0,679,1995
"Torino FC","Serie A","Italy","Enzo Biato","https://www.transfermarkt.com/enzo-biato/profil/spieler/227413","Goalkeeper",31,"Italy",23,14,0,1237,1995
"Torino FC","Serie A","Italy","Alessandro Casciano","https://www.transfermarkt.com/alessandro-casciano/profil/spieler/257105","Goalkeeper",18,"Italy",2,0,0,0,1995
"Torino FC","Serie A","Italy","Massimiliano Caniato","https://www.transfermarkt.com/massimiliano-caniato/profil/spieler/224527","Goalkeeper",27,"Italy",21,15,0,1234,1995
"Torino FC","Serie A","Italy","Mauro Milanese","https://www.transfermarkt.com/mauro-milanese/profil/spieler/6086","Left-Back",23,"Italy",33,32,0,2687,1995
"Torino FC","Serie A","Italy","Giulio Falcone","https://www.transfermarkt.com/giulio-falcone/profil/spieler/5989","Centre-Back",21,"Italy",32,32,0,2533,1995
"Torino FC","Serie A","Italy","Roberto Maltagliati","https://www.transfermarkt.com/roberto-maltagliati/profil/spieler/20742","Centre-Back",26,"Italy",34,34,0,2980,1995
"Torino FC","Serie A","Italy","Alessandro Dal Canto","https://www.transfermarkt.com/alessandro-dal-canto/profil/spieler/24320","Left-Back",20,"Italy",21,17,0,1163,1995
"Torino FC","Serie A","Italy","Sean Sogliano","https://www.transfermarkt.com/sean-sogliano/profil/spieler/16853","Centre-Back",24,"Italy",29,14,0,626,1995
"Torino FC","Serie A","Italy","Fabio Moro","https://www.transfermarkt.com/fabio-moro/profil/spieler/5912","Right-Back",19,"Italy",9,9,0,603,1995
"Torino FC","Serie A","Italy","Moreno Longo","https://www.transfermarkt.com/moreno-longo/profil/spieler/5915","Right-Back",19,"Italy",17,11,0,754,1995
"Torino FC","Serie A","Italy","Luca Mezzano","https://www.transfermarkt.com/luca-mezzano/profil/spieler/21888","Centre-Back",17,"Italy",13,11,2,920,1995
"Torino FC","Serie A","Italy","Massimiliano Rindone","https://www.transfermarkt.com/massimiliano-rindone/profil/spieler/259513","Defender",17,"Italy",1,0,0,0,1995
"Torino FC","Serie A","Italy","Jocelyn Angloma","https://www.transfermarkt.com/jocelyn-angloma/profil/spieler/51776","Right-Back",29,"Guadeloupe",32,32,3,2669,1995
"Torino FC","Serie A","Italy","Roberto Bacci","https://www.transfermarkt.com/roberto-bacci/profil/spieler/224927","Centre-Back",28,"Italy",30,29,0,2550,1995
"Torino FC","Serie A","Italy","Roberto Cravero","https://www.transfermarkt.com/roberto-cravero/profil/spieler/118250","Sweeper",31,"Italy",21,20,0,1510,1995
"Torino FC","Serie A","Italy","Daniele Di Donato","https://www.transfermarkt.com/daniele-di-donato/profil/spieler/20946","Central Midfield",18,"Italy",0,0,0,0,1995
"Torino FC","Serie A","Italy","Francesco Cozza","https://www.transfermarkt.com/francesco-cozza/profil/spieler/6071","Attacking Midfield",21,"Italy",1,1,0,35,1995
"Torino FC","Serie A","Italy","Paolo Cristallini","https://www.transfermarkt.com/paolo-cristallini/profil/spieler/22191","Attacking Midfield",23,"Italy",25,25,1,2124,1995
"Torino FC","Serie A","Italy","Antonino Bernardini","https://www.transfermarkt.com/antonino-bernardini/profil/spieler/19436","Defensive Midfield",21,"Italy",26,24,2,1641,1995
"Torino FC","Serie A","Italy","Michele Marcolini","https://www.transfermarkt.com/michele-marcolini/profil/spieler/19443","Central Midfield",19,"Italy",0,0,0,0,1995
"Torino FC","Serie A","Italy","Augustine Simo","https://www.transfermarkt.com/augustine-simo/profil/spieler/2911","Attacking Midfield",16,"Cameroon",9,6,0,386,1995
"Torino FC","Serie A","Italy","Abédi Pelé","https://www.transfermarkt.com/abedi-pele/profil/spieler/6657","Attacking Midfield",30,"Ghana",18,18,3,1579,1995
"Torino FC","Serie A","Italy","Valeriano Fiorin","https://www.transfermarkt.com/valeriano-fiorin/profil/spieler/223462","Defensive Midfield",28,"Italy",8,2,0,49,1995
"Torino FC","Serie A","Italy","Giuseppe Minaudo","https://www.transfermarkt.com/giuseppe-minaudo/profil/spieler/223012","midfield",28,"Italy",19,13,0,527,1995
"Torino FC","Serie A","Italy","Hakan Sükür","https://www.transfermarkt.com/hakan-sukur/profil/spieler/3363","Centre-Forward",23,"Turkey",5,5,1,385,1995
"Torino FC","Serie A","Italy","Davide Dionigi","https://www.transfermarkt.com/davide-dionigi/profil/spieler/28015","Centre-Forward",21,"Italy",32,23,2,1005,1995
"Torino FC","Serie A","Italy","Vincenzo Sommese","https://www.transfermarkt.com/vincenzo-sommese/profil/spieler/16854","Right Winger",19,"Italy",12,5,0,213,1995
"Torino FC","Serie A","Italy","Ruggiero Rizzitelli","https://www.transfermarkt.com/ruggiero-rizzitelli/profil/spieler/16965","Centre-Forward",27,"Italy",29,29,11,2435,1995
"Torino FC","Serie A","Italy","Felice Foglia","https://www.transfermarkt.com/felice-foglia/profil/spieler/227419","Left Winger",18,"Italy",3,2,0,167,1995
"Torino FC","Serie A","Italy","Alberto Bernardi","https://www.transfermarkt.com/alberto-bernardi/profil/spieler/227412","Right Winger",18,"Italy",7,4,0,126,1995
"Torino FC","Serie A","Italy","Veldin Karic","https://www.transfermarkt.com/veldin-karic/profil/spieler/25590","Centre-Forward",21,"Croatia",23,23,1,1580,1995
"LR Vicenza","Serie C - Girone A","Italy","Luca Mondini","https://www.transfermarkt.com/luca-mondini/profil/spieler/30646","Goalkeeper",25,"Italy",35,33,0,2970,1995
"LR Vicenza","Serie C - Girone A","Italy","Pierluigi Brivio","https://www.transfermarkt.com/pierluigi-brivio/profil/spieler/22747","Goalkeeper",26,"Italy",35,3,0,270,1995
"LR Vicenza","Serie C - Girone A","Italy","Joachim Björklund","https://www.transfermarkt.com/joachim-bjorklund/profil/spieler/3642","Centre-Back",24,"Sweden",35,35,0,3136,1995
"LR Vicenza","Serie C - Girone A","Italy","Luigi Sartor","https://www.transfermarkt.com/luigi-sartor/profil/spieler/5941","Right-Back",20,"Italy",18,16,0,1299,1995
"LR Vicenza","Serie C - Girone A","Italy","Alessandro Pistone","https://www.transfermarkt.com/alessandro-pistone/profil/spieler/3588","Left-Back",19,"Italy",10,8,0,596,1995
"LR Vicenza","Serie C - Girone A","Italy","Davide Belotti","https://www.transfermarkt.com/davide-belotti/profil/spieler/23597","Centre-Back",23,"Italy",25,16,0,685,1995
"LR Vicenza","Serie C - Girone A","Italy","Federico Balasso","https://www.transfermarkt.com/federico-balasso/profil/spieler/259548","Defender",18,"Italy",1,0,0,0,1995
"LR Vicenza","Serie C - Girone A","Italy","Riccardo Castagna","https://www.transfermarkt.com/riccardo-castagna/profil/spieler/227641","Centre-Back",23,"Italy",10,6,0,166,1995
"LR Vicenza","Serie C - Girone A","Italy","Gilberto D'Ignazio Pulpito","https://www.transfermarkt.com/gilberto-dignazio-pulpito/profil/spieler/106108","Left-Back",26,"Italy",15,13,0,764,1995
"LR Vicenza","Serie C - Girone A","Italy","Giovanni Lopez","https://www.transfermarkt.com/giovanni-lopez/profil/spieler/151881","Centre-Back",28,"Italy",28,28,1,2501,1995
"LR Vicenza","Serie C - Girone A","Italy","Gustavo Méndez","https://www.transfermarkt.com/gustavo-mendez/profil/spieler/130289","Right-Back",24,"Uruguay",28,27,0,1883,1995
"LR Vicenza","Serie C - Girone A","Italy","Gabriele Grossi","https://www.transfermarkt.com/gabriele-grossi/profil/spieler/227658","Left-Back",23,"Italy",19,16,0,1333,1995
"LR Vicenza","Serie C - Girone A","Italy","Maurizio Rossi","https://www.transfermarkt.com/maurizio-rossi/profil/spieler/21852","Right Midfield",25,"Italy",34,33,5,2263,1995
"LR Vicenza","Serie C - Girone A","Italy","Daniele Amerini","https://www.transfermarkt.com/daniele-amerini/profil/spieler/22262","Central Midfield",20,"Italy",29,25,0,644,1995
"LR Vicenza","Serie C - Girone A","Italy","Giampiero Maini","https://www.transfermarkt.com/giampiero-maini/profil/spieler/16851","midfield",23,"Italy",33,33,2,2870,1995
"LR Vicenza","Serie C - Girone A","Italy","Gabriele Ambrosetti","https://www.transfermarkt.com/gabriele-ambrosetti/profil/spieler/3167","Left Midfield",21,"Italy",25,24,3,1378,1995
"LR Vicenza","Serie C - Girone A","Italy","Domenico Di Carlo","https://www.transfermarkt.com/domenico-di-carlo/profil/spieler/169650","Central Midfield",31,"Italy",28,28,3,2439,1995
"LR Vicenza","Serie C - Girone A","Italy","Fabio Viviani","https://www.transfermarkt.com/fabio-viviani/profil/spieler/166541","Defensive Midfield",28,"Italy",31,29,1,2206,1995
"LR Vicenza","Serie C - Girone A","Italy","Massimo Lombardini","https://www.transfermarkt.com/massimo-lombardini/profil/spieler/227667","midfield",23,"Italy",32,32,0,1851,1995
"LR Vicenza","Serie C - Girone A","Italy","Willi Pittana","https://www.transfermarkt.com/willi-pittana/profil/spieler/224589","midfield",23,"Italy",13,6,0,24,1995
"LR Vicenza","Serie C - Girone A","Italy","Roberto Murgita","https://www.transfermarkt.com/roberto-murgita/profil/spieler/169651","Centre-Forward",26,"Italy",36,36,11,3070,1995
"LR Vicenza","Serie C - Girone A","Italy","Alberto Briaschi","https://www.transfermarkt.com/alberto-briaschi/profil/spieler/256929","Centre-Forward",31,"Italy",11,9,0,397,1995
"LR Vicenza","Serie C - Girone A","Italy","Luca Margherita","https://www.transfermarkt.com/luca-margherita/profil/spieler/538246","Attack",18,"Italy",0,0,0,0,1995
"LR Vicenza","Serie C - Girone A","Italy","Marcelo Otero","https://www.transfermarkt.com/marcelo-otero/profil/spieler/167632","Centre-Forward",24,"Uruguay",33,31,13,2493,1995
"LR Vicenza","Serie C - Girone A","Italy","Ferdinando Gasparini","https://www.transfermarkt.com/ferdinando-gasparini/profil/spieler/227471","Attack",25,"Italy",8,7,0,222,1995
"AC Milan","Serie A","Italy","Gabriele Aldegani","https://www.transfermarkt.com/gabriele-aldegani/profil/spieler/28828","Goalkeeper",19,"Italy",0,0,0,0,1995
"AC Milan","Serie A","Italy","Carlo Cudicini","https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151","Goalkeeper",21,"Italy",0,0,0,0,1995
"AC Milan","Serie A","Italy","Sebastiano Rossi","https://www.transfermarkt.com/sebastiano-rossi/profil/spieler/106923","Goalkeeper",30,"Italy",42,34,0,3060,1995
"AC Milan","Serie A","Italy","Mario Ielpo","https://www.transfermarkt.com/mario-ielpo/profil/spieler/177673","Goalkeeper",32,"Italy",46,12,0,1110,1995
"AC Milan","Serie A","Italy","Christian Panucci","https://www.transfermarkt.com/christian-panucci/profil/spieler/5940","Right-Back",22,"Italy",38,38,5,3411,1995
"AC Milan","Serie A","Italy","Paolo Maldini","https://www.transfermarkt.com/paolo-maldini/profil/spieler/5803","Left-Back",27,"Italy",41,41,3,3578,1995
"AC Milan","Serie A","Italy","Franco Baresi","https://www.transfermarkt.com/franco-baresi/profil/spieler/42049","Sweeper",35,"Italy",41,40,1,3547,1995
"AC Milan","Serie A","Italy","Marcel Desailly","https://www.transfermarkt.com/marcel-desailly/profil/spieler/3154","Centre-Back",26,"France",40,40,2,3592,1995
"AC Milan","Serie A","Italy","Francesco Coco","https://www.transfermarkt.com/francesco-coco/profil/spieler/3508","Left-Back",18,"Italy",18,10,1,685,1995
"AC Milan","Serie A","Italy","Alessandro Costacurta","https://www.transfermarkt.com/alessandro-costacurta/profil/spieler/10055","Centre-Back",29,"Italy",40,40,0,3513,1995
"AC Milan","Serie A","Italy","Filippo Galli","https://www.transfermarkt.com/filippo-galli/profil/spieler/106898","Centre-Back",32,"Italy",18,8,0,556,1995
"AC Milan","Serie A","Italy","Roberto Lorenzini","https://www.transfermarkt.com/roberto-lorenzini/profil/spieler/223470","Left-Back",28,"Italy",0,0,0,0,1995
"AC Milan","Serie A","Italy","Stefano Nava","https://www.transfermarkt.com/stefano-nava/profil/spieler/91795","Centre-Back",26,"Italy",0,0,0,0,1995
"AC Milan","Serie A","Italy","Mauro Tassotti","https://www.transfermarkt.com/mauro-tassotti/profil/spieler/102483","Right-Back",35,"Italy",33,20,0,1050,1995
"AC Milan","Serie A","Italy","Mario Stancanelli","https://www.transfermarkt.com/mario-stancanelli/profil/spieler/339460","Left-Back",18,"Italy",0,0,0,0,1995
"AC Milan","Serie A","Italy","Demetrio Albertini","https://www.transfermarkt.com/demetrio-albertini/profil/spieler/3390","Defensive Midfield",23,"Italy",39,38,0,3159,1995
"AC Milan","Serie A","Italy","Massimo Ambrosini","https://www.transfermarkt.com/massimo-ambrosini/profil/spieler/5818","Central Midfield",18,"Italy",26,14,0,552,1995
"AC Milan","Serie A","Italy","Tomas Locatelli","https://www.transfermarkt.com/tomas-locatelli/profil/spieler/5996","Attacking Midfield",19,"Italy",11,9,0,137,1995
"AC Milan","Serie A","Italy","Stefano Eranio","https://www.transfermarkt.com/stefano-eranio/profil/spieler/4227","Right Midfield",28,"Italy",33,33,4,2183,1995
"AC Milan","Serie A","Italy","Patrick Vieira","https://www.transfermarkt.com/patrick-vieira/profil/spieler/3183","Defensive Midfield",19,"France",7,5,0,350,1995
