"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Juventus FC","Serie A","Italy","Roberto Anzolin","https://www.transfermarkt.com/roberto-anzolin/profil/spieler/304907","Goalkeeper",24,"Italy",21,21,0,1890,1962
"Juventus FC","Serie A","Italy","Carlo Mattrel","https://www.transfermarkt.com/carlo-mattrel/profil/spieler/237702","Goalkeeper",25,"Italy",18,17,0,1530,1962
"Juventus FC","Serie A","Italy","Ernesto Castano","https://www.transfermarkt.com/ernesto-castano/profil/spieler/215892","Sweeper",23,"Italy",37,37,0,3330,1962
"Juventus FC","Serie A","Italy","Sandro Salvadore","https://www.transfermarkt.com/sandro-salvadore/profil/spieler/216035","Sweeper",22,"Italy",38,38,0,3420,1962
"Juventus FC","Serie A","Italy","Giancarlo Bercellino","https://www.transfermarkt.com/giancarlo-bercellino/profil/spieler/215891","Centre-Back",20,"Italy",1,0,0,0,1962
"Juventus FC","Serie A","Italy","Bruno Fochesato","https://www.transfermarkt.com/bruno-fochesato/profil/spieler/488233","Defender",18,"Italy",1,1,0,90,1962
"Juventus FC","Serie A","Italy","Renato Caocci","https://www.transfermarkt.com/renato-caocci/profil/spieler/454411","Right-Back",19,"Italy",4,4,0,360,1962
"Juventus FC","Serie A","Italy","Benito Sarti","https://www.transfermarkt.com/benito-sarti/profil/spieler/293547","Defender",25,"Italy",26,26,1,2340,1962
"Juventus FC","Serie A","Italy","Luis del Sol","https://www.transfermarkt.com/luis-del-sol/profil/spieler/237180","Central Midfield",27,"Spain",37,37,7,3330,1962
"Juventus FC","Serie A","Italy","Gianfranco Leoncini","https://www.transfermarkt.com/gianfranco-leoncini/profil/spieler/235936","midfield",22,"Italy",31,31,1,2790,1962
"Juventus FC","Serie A","Italy","Giovanni Sacco","https://www.transfermarkt.com/giovanni-sacco/profil/spieler/304933","midfield",18,"Italy",16,16,0,1440,1962
"Juventus FC","Serie A","Italy","Gilberto Noletti","https://www.transfermarkt.com/gilberto-noletti/profil/spieler/306666","midfield",21,"Italy",17,17,1,1530,1962
"Juventus FC","Serie A","Italy","Flavio Emoli","https://www.transfermarkt.com/flavio-emoli/profil/spieler/293092","Defensive Midfield",27,"Italy",30,30,1,2700,1962
"Juventus FC","Serie A","Italy","Franco Carrera","https://www.transfermarkt.com/franco-carrera/profil/spieler/466713","midfield",18,"Italy",1,1,0,90,1962
"Juventus FC","Serie A","Italy","Bruno Nicolè","https://www.transfermarkt.com/bruno-nicole/profil/spieler/293546","Right Midfield",22,"Italy",14,14,5,1216,1962
"Juventus FC","Serie A","Italy","Dante Crippa","https://www.transfermarkt.com/dante-crippa/profil/spieler/488236","Left Winger",25,"Italy",20,20,1,1800,1962
"Juventus FC","Serie A","Italy","Gianni Rossi","https://www.transfermarkt.com/gianni-rossi/profil/spieler/493999","Right Winger",25,"Italy",6,6,1,540,1962
"Juventus FC","Serie A","Italy","Omar Sívori","https://www.transfermarkt.com/omar-sivori/profil/spieler/50816","Second Striker",26,"Italy",37,37,18,3330,1962
"Juventus FC","Serie A","Italy","Dario Cavallito","https://www.transfermarkt.com/dario-cavallito/profil/spieler/472703","Right Winger",20,"Italy",1,1,0,44,1962
"Juventus FC","Serie A","Italy","Gianfranco Zigoni","https://www.transfermarkt.com/gianfranco-zigoni/profil/spieler/304938","Left Winger",17,"Italy",2,2,1,180,1962
"Juventus FC","Serie A","Italy","Armando Miranda","https://www.transfermarkt.com/armando-miranda/profil/spieler/494009","Centre-Forward",22,"Brazil",17,17,12,1530,1962
"Juventus FC","Serie A","Italy","Bruno Siciliano","https://www.transfermarkt.com/bruno-siciliano/profil/spieler/493998","Centre-Forward",23,"Brazil",15,15,4,1350,1962
"Juventus FC","Serie A","Italy","Gino Stacchini","https://www.transfermarkt.com/gino-stacchini/profil/spieler/293548","Left Winger",24,"Italy",31,31,3,2790,1962
"LR Vicenza","Serie C - Girone A","Italy","Alessandro Bazzoni","https://www.transfermarkt.com/alessandro-bazzoni/profil/spieler/376069","Goalkeeper",28,"Italy",4,4,0,224,1962
"LR Vicenza","Serie C - Girone A","Italy","Franco Luison","https://www.transfermarkt.com/franco-luison/profil/spieler/483284","Goalkeeper",27,"Italy",37,37,0,3196,1962
"LR Vicenza","Serie C - Girone A","Italy","Antonio Pin","https://www.transfermarkt.com/antonio-pin/profil/spieler/415779","Goalkeeper",33,"Italy",3,3,0,270,1962
"LR Vicenza","Serie C - Girone A","Italy","Gianfranco Volpato","https://www.transfermarkt.com/gianfranco-volpato/profil/spieler/475969","Defender",22,"Italy",3,3,0,270,1962
"LR Vicenza","Serie C - Girone A","Italy","Dino Panzanato","https://www.transfermarkt.com/dino-panzanato/profil/spieler/478850","Centre-Back",23,"Italy",35,35,0,3150,1962
"LR Vicenza","Serie C - Girone A","Italy","Romano Bernard","https://www.transfermarkt.com/romano-bernard/profil/spieler/388443","Left-Back",26,"Italy",3,3,0,227,1962
"LR Vicenza","Serie C - Girone A","Italy","Floriano Galassin","https://www.transfermarkt.com/floriano-galassin/profil/spieler/483604","Defender",19,"Italy",1,1,0,44,1962
"LR Vicenza","Serie C - Girone A","Italy","Giorgio Miazza","https://www.transfermarkt.com/giorgio-miazza/profil/spieler/496118","Left-Back",23,"Italy",8,8,0,720,1962
"LR Vicenza","Serie C - Girone A","Italy","Giorgio Puia","https://www.transfermarkt.com/giorgio-puia/profil/spieler/291580","Centre-Back",24,"Italy",38,38,11,3376,1962
"LR Vicenza","Serie C - Girone A","Italy","Mario Zanon","https://www.transfermarkt.com/mario-zanon/profil/spieler/488219","Defender",21,"Italy",3,3,0,270,1962
"LR Vicenza","Serie C - Girone A","Italy","Amedeo Stenti","https://www.transfermarkt.com/amedeo-stenti/profil/spieler/480858","Sweeper",22,"Italy",37,37,3,3286,1962
"LR Vicenza","Serie C - Girone A","Italy","Giulio Savoini","https://www.transfermarkt.com/giulio-savoini/profil/spieler/488225","Left-Back",31,"Italy",38,38,2,3420,1962
"LR Vicenza","Serie C - Girone A","Italy","Ferdinando Baston","https://www.transfermarkt.com/ferdinando-baston/profil/spieler/373961","Central Midfield",24,"Italy",4,4,0,360,1962
"LR Vicenza","Serie C - Girone A","Italy","Nicola Raccuglia","https://www.transfermarkt.com/nicola-raccuglia/profil/spieler/855155","midfield",24,"Italy",1,1,0,90,1962
"LR Vicenza","Serie C - Girone A","Italy","Giovanni Scala","https://www.transfermarkt.com/giovanni-scala/profil/spieler/855261","midfield",NA,"Italy",1,1,0,90,1962
"LR Vicenza","Serie C - Girone A","Italy","Giorgio De Marchi","https://www.transfermarkt.com/giorgio-de-marchi/profil/spieler/488222","Defensive Midfield",28,"Italy",39,39,0,3510,1962
"LR Vicenza","Serie C - Girone A","Italy","Sandro Tiberi","https://www.transfermarkt.com/sandro-tiberi/profil/spieler/483271","Defensive Midfield",23,"Italy",4,4,0,360,1962
"LR Vicenza","Serie C - Girone A","Italy","Giobatta Zoppelletto","https://www.transfermarkt.com/giobatta-zoppelletto/profil/spieler/488224","Defensive Midfield",30,"Italy",36,36,1,3240,1962
"LR Vicenza","Serie C - Girone A","Italy","Giordano Colausig","https://www.transfermarkt.com/giordano-colausig/profil/spieler/480910","midfield",21,"Italy",9,9,1,673,1962
"LR Vicenza","Serie C - Girone A","Italy","Luigi Menti","https://www.transfermarkt.com/luigi-menti/profil/spieler/483290","Attacking Midfield",27,"Italy",37,37,3,3330,1962
"LR Vicenza","Serie C - Girone A","Italy","Giuliano Fortunato","https://www.transfermarkt.com/giuliano-fortunato/profil/spieler/480843","Attack",22,"Italy",7,7,4,450,1962
"LR Vicenza","Serie C - Girone A","Italy","Ghito","https://www.transfermarkt.com/ghito/profil/spieler/430418","Attack",33,"Argentina",14,14,1,1260,1962
