"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"ACF Fiorentina","Serie A","Italy","Giovanni Galli","https://www.transfermarkt.com/giovanni-galli/profil/spieler/116706","Goalkeeper",24,"Italy",37,37,0,3330,1982
"ACF Fiorentina","Serie A","Italy","Mario Paradisi","https://www.transfermarkt.com/mario-paradisi/profil/spieler/169662","Goalkeeper",23,"Italy",30,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Stefano Carobbi","https://www.transfermarkt.com/stefano-carobbi/profil/spieler/214766","Right-Back",18,"Italy",6,3,0,185,1982
"ACF Fiorentina","Serie A","Italy","Renzo Contratto","https://www.transfermarkt.com/renzo-contratto/profil/spieler/222992","Right-Back",22,"Italy",36,36,0,3165,1982
"ACF Fiorentina","Serie A","Italy","Antonello Cuccureddu","https://www.transfermarkt.com/antonello-cuccureddu/profil/spieler/135785","Right-Back",32,"Italy",29,23,0,1746,1982
"ACF Fiorentina","Serie A","Italy","Armando Ferroni","https://www.transfermarkt.com/armando-ferroni/profil/spieler/223461","Left-Back",21,"Italy",25,20,0,1473,1982
"ACF Fiorentina","Serie A","Italy","Daniel Passarella","https://www.transfermarkt.com/daniel-passarella/profil/spieler/116735","Sweeper",29,"Argentina",34,34,3,3060,1982
"ACF Fiorentina","Serie A","Italy","Celeste Pin","https://www.transfermarkt.com/celeste-pin/profil/spieler/120428","Defender",21,"Italy",36,33,2,2848,1982
"ACF Fiorentina","Serie A","Italy","Federico Rossi","https://www.transfermarkt.com/federico-rossi/profil/spieler/224592","Defender",24,"Italy",19,17,1,1245,1982
"ACF Fiorentina","Serie A","Italy","Sandro Vignini","https://www.transfermarkt.com/sandro-vignini/profil/spieler/255786","Defender",18,"Italy",3,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Luciano Miani","https://www.transfermarkt.com/luciano-miani/profil/spieler/336139","Sweeper",26,"Italy",14,10,1,681,1982
"ACF Fiorentina","Serie A","Italy","Giancarlo Antognoni","https://www.transfermarkt.com/giancarlo-antognoni/profil/spieler/128892","Attacking Midfield",28,"Italy",34,34,10,2989,1982
"ACF Fiorentina","Serie A","Italy","Giuseppe Bellini","https://www.transfermarkt.com/giuseppe-bellini/profil/spieler/336540","midfield",25,"Italy",23,17,1,979,1982
"ACF Fiorentina","Serie A","Italy","Mario Bortolazzi","https://www.transfermarkt.com/mario-bortolazzi/profil/spieler/223005","Defensive Midfield",17,"Italy",7,2,0,12,1982
"ACF Fiorentina","Serie A","Italy","Stefano Del Monte","https://www.transfermarkt.com/stefano-del-monte/profil/spieler/374012","midfield",17,"Italy",1,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Andrea Manzo","https://www.transfermarkt.com/andrea-manzo/profil/spieler/224573","Central Midfield",20,"Italy",31,23,1,1331,1982
"ACF Fiorentina","Serie A","Italy","Eraldo Pecci","https://www.transfermarkt.com/eraldo-pecci/profil/spieler/135789","Defensive Midfield",27,"Italy",33,33,1,2877,1982
"ACF Fiorentina","Serie A","Italy","Patrizio Sala","https://www.transfermarkt.com/patrizio-sala/profil/spieler/135792","Defensive Midfield",27,"Italy",24,23,0,1895,1982
"ACF Fiorentina","Serie A","Italy","Antonio Strano","https://www.transfermarkt.com/antonio-strano/profil/spieler/373290","midfield",18,"Italy",4,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Alessio Torracchi","https://www.transfermarkt.com/alessio-torracchi/profil/spieler/371410","Defensive Midfield",19,"Italy",6,2,0,16,1982
"ACF Fiorentina","Serie A","Italy","Giovanni Ceccarini","https://www.transfermarkt.com/giovanni-ceccarini/profil/spieler/313464","Attack",17,"Italy",4,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Gianni Cristiani","https://www.transfermarkt.com/gianni-cristiani/profil/spieler/227593","Right Winger",19,"Italy",1,0,0,0,1982
"ACF Fiorentina","Serie A","Italy","Alessandro Bertoni","https://www.transfermarkt.com/alessandro-bertoni/profil/spieler/224928","Attack",23,"Italy",37,31,3,1496,1982
"ACF Fiorentina","Serie A","Italy","Daniel Bertoni","https://www.transfermarkt.com/daniel-bertoni/profil/spieler/135804","Right Winger",27,"Argentina",23,23,6,1869,1982
"ACF Fiorentina","Serie A","Italy","Luca Cecconi","https://www.transfermarkt.com/luca-cecconi/profil/spieler/226420","Left Winger",18,"Italy",7,2,0,83,1982
"ACF Fiorentina","Serie A","Italy","Francesco Graziani","https://www.transfermarkt.com/francesco-graziani/profil/spieler/128884","Centre-Forward",29,"Italy",30,30,7,2490,1982
"ACF Fiorentina","Serie A","Italy","Daniele Massaro","https://www.transfermarkt.com/daniele-massaro/profil/spieler/102480","Centre-Forward",21,"Italy",35,35,5,2860,1982
"SSC Napoli","Serie A","Italy","Luciano Castellini","https://www.transfermarkt.com/luciano-castellini/profil/spieler/145376","Goalkeeper",36,"Italy",43,43,0,3812,1982
"SSC Napoli","Serie A","Italy","Raffaele Ceriello","https://www.transfermarkt.com/raffaele-ceriello/profil/spieler/366726","Goalkeeper",24,"Italy",11,1,0,58,1982
"SSC Napoli","Serie A","Italy","Pasquale Fiore","https://www.transfermarkt.com/pasquale-fiore/profil/spieler/341225","Goalkeeper",28,"Italy",20,0,0,0,1982
"SSC Napoli","Serie A","Italy","Ruud Krol","https://www.transfermarkt.com/ruud-krol/profil/spieler/135621","Left-Back",33,"Netherlands",41,41,0,3641,1982
"SSC Napoli","Serie A","Italy","Roberto Amodio","https://www.transfermarkt.com/roberto-amodio/profil/spieler/226104","Right-Back",20,"Italy",39,22,0,948,1982
"SSC Napoli","Serie A","Italy","Giuseppe Bruscolotti","https://www.transfermarkt.com/giuseppe-bruscolotti/profil/spieler/216655","Right-Back",31,"Italy",29,29,0,2549,1982
"SSC Napoli","Serie A","Italy","Moreno Ferrario","https://www.transfermarkt.com/moreno-ferrario/profil/spieler/216654","Centre-Back",23,"Italy",42,42,6,3752,1982
"SSC Napoli","Serie A","Italy","Raimondo Marino","https://www.transfermarkt.com/raimondo-marino/profil/spieler/224921","Centre-Back",21,"Italy",40,39,2,2828,1982
"SSC Napoli","Serie A","Italy","Antonio Carannante","https://www.transfermarkt.com/antonio-carannante/profil/spieler/226105","Left-Back",17,"Italy",2,1,0,44,1982
"SSC Napoli","Serie A","Italy","Filippo Citterio","https://www.transfermarkt.com/filippo-citterio/profil/spieler/243800","Left-Back",26,"Italy",36,34,0,2803,1982
