"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"ACF Fiorentina","Serie A","Italy","Leonardo Costagliola","https://www.transfermarkt.com/leonardo-costagliola/profil/spieler/150881","Goalkeeper",28,"Italy",28,28,0,2520,1950
"ACF Fiorentina","Serie A","Italy","Manlio Grandi","https://www.transfermarkt.com/manlio-grandi/profil/spieler/554094","Goalkeeper",19,"Italy",10,10,0,900,1950
"ACF Fiorentina","Serie A","Italy","Sergio Cervato","https://www.transfermarkt.com/sergio-cervato/profil/spieler/245250","Left-Back",21,"Italy",37,37,4,3330,1950
"ACF Fiorentina","Serie A","Italy","Ardico Magnini","https://www.transfermarkt.com/ardico-magnini/profil/spieler/244866","Centre-Back",21,"Italy",13,13,1,1170,1950
"ACF Fiorentina","Serie A","Italy","Francesco Rosetta","https://www.transfermarkt.com/francesco-rosetta/profil/spieler/289754","Sweeper",27,"Italy",29,29,0,2610,1950
"ACF Fiorentina","Serie A","Italy","Renzo Venturi","https://www.transfermarkt.com/renzo-venturi/profil/spieler/515875","Defender",22,"Italy",31,31,0,2790,1950
"ACF Fiorentina","Serie A","Italy","Rodolfo Beltrandi","https://www.transfermarkt.com/rodolfo-beltrandi/profil/spieler/387595","Central Midfield",19,"Italy",10,10,1,900,1950
"ACF Fiorentina","Serie A","Italy","Giuseppe Chiappella","https://www.transfermarkt.com/giuseppe-chiappella/profil/spieler/289701","Defensive Midfield",25,"Italy",36,36,0,3240,1950
"ACF Fiorentina","Serie A","Italy","Augusto Magli","https://www.transfermarkt.com/augusto-magli/profil/spieler/249240","midfield",27,"Italy",36,36,0,3150,1950
"ACF Fiorentina","Serie A","Italy","Egisto Pandolfini","https://www.transfermarkt.com/egisto-pandolfini/profil/spieler/247881","Attacking Midfield",24,"Italy",36,36,7,3240,1950
"ACF Fiorentina","Serie A","Italy","Corrado Viciani","https://www.transfermarkt.com/corrado-viciani/profil/spieler/509180","Defensive Midfield",20,"Italy",6,6,0,540,1950
"ACF Fiorentina","Serie A","Italy","Gyula Nagy","https://www.transfermarkt.com/gyula-nagy/profil/spieler/554096","Attack",26,"Hungary",2,2,1,180,1950
"ACF Fiorentina","Serie A","Italy","Giancarlo Bolognesi","https://www.transfermarkt.com/giancarlo-bolognesi/profil/spieler/398207","Right Winger",19,"Italy",2,2,0,180,1950
"ACF Fiorentina","Serie A","Italy","Riccardo Dalla Torre","https://www.transfermarkt.com/riccardo-dalla-torre/profil/spieler/522298","Attack",29,"Italy",19,19,5,1710,1950
"ACF Fiorentina","Serie A","Italy","Alberto Galassi","https://www.transfermarkt.com/alberto-galassi/profil/spieler/523626","Attack",27,"Italy",20,20,6,1710,1950
