"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Torino FC","Serie A","Italy","Federico Marchetti","https://www.transfermarkt.com/federico-marchetti/profil/spieler/22318","Goalkeeper",19,"Italy",1,0,0,0,2002
"Torino FC","Serie A","Italy","Luca Bucci","https://www.transfermarkt.com/luca-bucci/profil/spieler/6407","Goalkeeper",33,"Italy",28,28,0,2485,2002
"Torino FC","Serie A","Italy","Stefano Sorrentino","https://www.transfermarkt.com/stefano-sorrentino/profil/spieler/21891","Goalkeeper",23,"Italy",39,10,0,848,2002
"Torino FC","Serie A","Italy","Alexander Manninger","https://www.transfermarkt.com/alexander-manninger/profil/spieler/5278","Goalkeeper",25,"Austria",3,3,0,270,2002
"Torino FC","Serie A","Italy","Alberto Maria Fontana","https://www.transfermarkt.com/alberto-maria-fontana/profil/spieler/21884","Goalkeeper",27,"Italy",9,1,0,27,2002
"Torino FC","Serie A","Italy","Gennaro Scarlato","https://www.transfermarkt.com/gennaro-scarlato/profil/spieler/21758","Centre-Back",25,"Italy",1,0,0,0,2002
"Torino FC","Serie A","Italy","Daniele Martinelli","https://www.transfermarkt.com/daniele-martinelli/profil/spieler/21761","Centre-Back",20,"Italy",3,0,0,0,2002
"Torino FC","Serie A","Italy","Federico Balzaretti","https://www.transfermarkt.com/federico-balzaretti/profil/spieler/21876","Left-Back",20,"Italy",22,14,0,643,2002
"Torino FC","Serie A","Italy","Daniele Delli Carri","https://www.transfermarkt.com/daniele-delli-carri/profil/spieler/15336","Centre-Back",30,"Italy",35,32,0,2767,2002
"Torino FC","Serie A","Italy","Gianluca Comotto","https://www.transfermarkt.com/gianluca-comotto/profil/spieler/16685","Right-Back",23,"Italy",27,24,1,1688,2002
"Torino FC","Serie A","Italy","Fabio Galante","https://www.transfermarkt.com/fabio-galante/profil/spieler/21886","Centre-Back",28,"Italy",29,24,0,2170,2002
"Torino FC","Serie A","Italy","Andrea Mantovani","https://www.transfermarkt.com/andrea-mantovani/profil/spieler/21935","Centre-Back",18,"Italy",22,8,0,414,2002
