"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"ACF Fiorentina","Serie A","Italy","Luigi Griffanti","https://www.transfermarkt.com/luigi-griffanti/profil/spieler/188549","Goalkeeper",25,"Italy",28,28,0,2520,1942
"ACF Fiorentina","Serie A","Italy","Ugo Innocenti","https://www.transfermarkt.com/ugo-innocenti/profil/spieler/559039","Goalkeeper",26,"Italy",3,3,0,270,1942
"ACF Fiorentina","Serie A","Italy","Ivo Buzzegoli","https://www.transfermarkt.com/ivo-buzzegoli/profil/spieler/434327","Right-Back",22,"Italy",9,9,0,796,1942
"ACF Fiorentina","Serie A","Italy","Bruno Crola","https://www.transfermarkt.com/bruno-crola/profil/spieler/559144","Defender",27,"Italy",16,16,0,1440,1942
"ACF Fiorentina","Serie A","Italy","Zeffiro Furiassi","https://www.transfermarkt.com/zeffiro-furiassi/profil/spieler/249233","Defender",19,"Italy",30,30,0,2700,1942
"ACF Fiorentina","Serie A","Italy","Carlo Piccardi","https://www.transfermarkt.com/carlo-piccardi/profil/spieler/559539","Defender",22,"Italy",7,7,0,630,1942
"ACF Fiorentina","Serie A","Italy","Menotti Avanzolini","https://www.transfermarkt.com/menotti-avanzolini/profil/spieler/369272","midfield",19,"Italy",30,30,0,2700,1942
"ACF Fiorentina","Serie A","Italy","Luigi Chiodi","https://www.transfermarkt.com/luigi-chiodi/profil/spieler/568622","midfield",22,"Italy",20,20,0,1800,1942
"ACF Fiorentina","Serie A","Italy","Augusto Magli","https://www.transfermarkt.com/augusto-magli/profil/spieler/249240","midfield",19,"Italy",2,2,0,180,1942
"ACF Fiorentina","Serie A","Italy","Poggi II","https://www.transfermarkt.com/poggi-ii/profil/spieler/548578","midfield",29,"Italy",30,30,1,2700,1942
"ACF Fiorentina","Serie A","Italy","Ferruccio Valcareggi","https://www.transfermarkt.com/ferruccio-valcareggi/profil/spieler/145377","midfield",23,"Italy",31,31,8,2790,1942
"ACF Fiorentina","Serie A","Italy","Pasquale Morisco","https://www.transfermarkt.com/pasquale-morisco/profil/spieler/563008","Attack",22,"Italy",1,1,0,90,1942
"ACF Fiorentina","Serie A","Italy","Angelo Bollano","https://www.transfermarkt.com/angelo-bollano/profil/spieler/313967","Attack",23,"Italy",26,26,11,2250,1942
"ACF Fiorentina","Serie A","Italy","Trentino Bui","https://www.transfermarkt.com/trentino-bui/profil/spieler/421941","Right Winger",27,"Italy",9,9,1,810,1942
"ACF Fiorentina","Serie A","Italy","Antonio Dellarosa","https://www.transfermarkt.com/antonio-dellarosa/profil/spieler/570943","Attack",18,"Italy",5,5,2,450,1942
"ACF Fiorentina","Serie A","Italy","Renato Gei","https://www.transfermarkt.com/renato-gei/profil/spieler/232473","Attack",21,"Italy",29,29,11,2610,1942
"ACF Fiorentina","Serie A","Italy","Ugo Gregorin","https://www.transfermarkt.com/ugo-gregorin/profil/spieler/570952","Attack",17,"Italy",1,1,0,90,1942
"ACF Fiorentina","Serie A","Italy","Danilo Michelini","https://www.transfermarkt.com/danilo-michelini/profil/spieler/556323","Attack",25,"Italy",25,25,10,2250,1942
"ACF Fiorentina","Serie A","Italy","Romano Penzo","https://www.transfermarkt.com/romano-penzo/profil/spieler/554067","Attack",22,"Italy",12,12,2,990,1942
"ACF Fiorentina","Serie A","Italy","Duilio Rallo","https://www.transfermarkt.com/duilio-rallo/profil/spieler/569147","Attack",26,"Italy",8,8,1,720,1942
"ACF Fiorentina","Serie A","Italy","Piero Suppi","https://www.transfermarkt.com/piero-suppi/profil/spieler/569459","Left Winger",22,"Italy",19,19,9,1710,1942
"AC Milan","Serie A","Italy","Alfonso Ricciardi","https://www.transfermarkt.com/alfonso-ricciardi/profil/spieler/561155","Goalkeeper",28,"Italy",3,3,0,270,1942
"AC Milan","Serie A","Italy","Giovanni Rossetti","https://www.transfermarkt.com/giovanni-rossetti/profil/spieler/554166","Goalkeeper",23,"Italy",29,29,0,2520,1942
"AC Milan","Serie A","Italy","Giuseppe Sacchi","https://www.transfermarkt.com/giuseppe-sacchi/profil/spieler/571528","Goalkeeper",16,"Italy",1,1,0,90,1942
"AC Milan","Serie A","Italy","Edoardo Galimberti","https://www.transfermarkt.com/edoardo-galimberti/profil/spieler/554131","Defender",26,"Italy",33,33,0,2970,1942
"AC Milan","Serie A","Italy","Franco Ventura","https://www.transfermarkt.com/franco-ventura/profil/spieler/569463","Defender",21,"Italy",2,2,0,180,1942
"AC Milan","Serie A","Italy","Luigi Zorzi","https://www.transfermarkt.com/luigi-zorzi/profil/spieler/518204","Defender",22,"Italy",27,27,1,2430,1942
"AC Milan","Serie A","Italy","Enrico Boniforti","https://www.transfermarkt.com/enrico-boniforti/profil/spieler/399600","Right-Back",24,"Italy",24,24,3,2160,1942
"AC Milan","Serie A","Italy","Andrea Bonomi","https://www.transfermarkt.com/andrea-bonomi/profil/spieler/99697","Right-Back",19,"Italy",4,4,0,360,1942
"AC Milan","Serie A","Italy","Giuseppe Antonini","https://www.transfermarkt.com/giuseppe-antonini/profil/spieler/367775","Defensive Midfield",27,"Italy",29,29,1,2610,1942
"AC Milan","Serie A","Italy","Giorgio Granata","https://www.transfermarkt.com/giorgio-granata/profil/spieler/514460","midfield",18,"Italy",2,2,0,180,1942
"AC Milan","Serie A","Italy","Luigi Rosellini","https://www.transfermarkt.com/luigi-rosellini/profil/spieler/556534","Attacking Midfield",24,"Italy",25,25,7,2070,1942
"AC Milan","Serie A","Italy","Attilio Gallo","https://www.transfermarkt.com/attilio-gallo/profil/spieler/556946","midfield",24,"Italy",16,16,0,1440,1942
"AC Milan","Serie A","Italy","Paolo Todeschini","https://www.transfermarkt.com/paolo-todeschini/profil/spieler/518271","midfield",21,"Italy",27,27,0,2430,1942
"AC Milan","Serie A","Italy","Gianni Toppan","https://www.transfermarkt.com/gianni-toppan/profil/spieler/554110","midfield",21,"Italy",12,12,0,1080,1942
"AC Milan","Serie A","Italy","Guido Corbelli","https://www.transfermarkt.com/guido-corbelli/profil/spieler/249749","Right Midfield",29,"Italy",30,30,4,2700,1942
"AC Milan","Serie A","Italy","Arrigo Morselli","https://www.transfermarkt.com/arrigo-morselli/profil/spieler/545717","Attacking Midfield",31,"Italy",20,20,5,1785,1942
"AC Milan","Serie A","Italy","Walter Del Medico","https://www.transfermarkt.com/walter-del-medico/profil/spieler/556943","Attack",22,"Italy",33,33,9,2970,1942
"AC Milan","Serie A","Italy","Pietro Trapanelli","https://www.transfermarkt.com/pietro-trapanelli/profil/spieler/569461","Attack",17,"Italy",4,4,0,360,1942
"AC Milan","Serie A","Italy","Mario Begni","https://www.transfermarkt.com/mario-begni/profil/spieler/379856","Right Winger",18,"Italy",2,2,0,180,1942
"AC Milan","Serie A","Italy","Aldo Boffi","https://www.transfermarkt.com/aldo-boffi/profil/spieler/300624","Centre-Forward",27,"Italy",13,13,6,1170,1942
"AC Milan","Serie A","Italy","Gino Cappello","https://www.transfermarkt.com/gino-cappello/profil/spieler/247859","Centre-Forward",22,"Italy",23,23,10,2070,1942
"AC Milan","Serie A","Italy","Luigi Pozzi","https://www.transfermarkt.com/luigi-pozzi/profil/spieler/571523","Attack",19,"Italy",4,4,0,360,1942
"Juventus FC","Serie A","Italy","Giuseppe Peruchetti","https://www.transfermarkt.com/giuseppe-peruchetti/profil/spieler/119734","Goalkeeper",34,"Italy",7,7,0,630,1942
"Juventus FC","Serie A","Italy","Lucidio Sentimenti","https://www.transfermarkt.com/lucidio-sentimenti/profil/spieler/249249","Goalkeeper",22,"Italy",24,24,0,2160,1942
"Juventus FC","Serie A","Italy","Pietro Rava","https://www.transfermarkt.com/pietro-rava/profil/spieler/249442","Left-Back",26,"Italy",13,13,0,1170,1942
"Juventus FC","Serie A","Italy","Alfredo Foni","https://www.transfermarkt.com/alfredo-foni/profil/spieler/249438","Defender",31,"Italy",20,20,0,1800,1942
"Juventus FC","Serie A","Italy","Pietro Sforzin","https://www.transfermarkt.com/pietro-sforzin/profil/spieler/554135","Defender",22,"Italy",7,7,0,630,1942
