"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"Juventus FC","Serie A","Italy","Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","Goalkeeper",29,"Poland",50,37,0,3312,2019
"Juventus FC","Serie A","Italy","Mattia Perin","https://www.transfermarkt.com/mattia-perin/profil/spieler/110923","Goalkeeper",26,"Italy",2,0,0,0,2019
"Juventus FC","Serie A","Italy","Carlo Pinsoglio","https://www.transfermarkt.com/carlo-pinsoglio/profil/spieler/75411","Goalkeeper",29,"Italy",45,1,0,18,2019
"Juventus FC","Serie A","Italy","Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","Goalkeeper",41,"Italy",52,15,0,1350,2019
"Juventus FC","Serie A","Italy","Matthijs de Ligt","https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031","Centre-Back",19,"Netherlands",47,39,4,3349,2019
"Juventus FC","Serie A","Italy","Merih Demiral","https://www.transfermarkt.com/merih-demiral/profil/spieler/340879","Centre-Back",21,"Turkey",33,8,1,598,2019
"Juventus FC","Serie A","Italy","Danilo","https://www.transfermarkt.com/danilo/profil/spieler/145707","Centre-Back",27,"Brazil",44,32,2,2151,2019
"Juventus FC","Serie A","Italy","Mattia De Sciglio","https://www.transfermarkt.com/mattia-de-sciglio/profil/spieler/88682","Right-Back",26,"Italy",27,13,0,774,2019
"Juventus FC","Serie A","Italy","Alex Sandro","https://www.transfermarkt.com/alex-sandro/profil/spieler/79960","Left-Back",28,"Brazil",45,41,1,3466,2019
"Juventus FC","Serie A","Italy","Pietro Beruatto","https://www.transfermarkt.com/pietro-beruatto/profil/spieler/381370","Left-Back",20,"Italy",1,0,0,0,2019
"Juventus FC","Serie A","Italy","Daniele Rugani","https://www.transfermarkt.com/daniele-rugani/profil/spieler/162959","Centre-Back",24,"Italy",50,14,0,1047,2019
"Juventus FC","Serie A","Italy","Wesley Gasolina","https://www.transfermarkt.com/wesley-gasolina/profil/spieler/371967","Right-Back",19,"Brazil",10,0,0,0,2019
"Juventus FC","Serie A","Italy","Leonardo Bonucci","https://www.transfermarkt.com/leonardo-bonucci/profil/spieler/39983","Centre-Back",32,"Italy",50,47,4,4165,2019
"Juventus FC","Serie A","Italy","Gianluca Frabotta","https://www.transfermarkt.com/gianluca-frabotta/profil/spieler/386755","Left-Back",20,"Italy",2,1,0,90,2019
"Juventus FC","Serie A","Italy","Giorgio Chiellini","https://www.transfermarkt.com/giorgio-chiellini/profil/spieler/29260","Centre-Back",34,"Italy",9,4,1,202,2019
"Juventus FC","Serie A","Italy","Luca Coccolo","https://www.transfermarkt.com/luca-coccolo/profil/spieler/344655","Centre-Back",21,"Italy",11,0,0,0,2019
"Juventus FC","Serie A","Italy","Adrien Rabiot","https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913","Central Midfield",24,"France",47,37,1,2476,2019
"Juventus FC","Serie A","Italy","Rodrigo Bentancur","https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362","Central Midfield",22,"Uruguay",47,43,1,3088,2019
"Juventus FC","Serie A","Italy","Emre Can","https://www.transfermarkt.com/emre-can/profil/spieler/119296","Defensive Midfield",25,"Germany",23,8,0,279,2019
"Juventus FC","Serie A","Italy","Miralem Pjanic","https://www.transfermarkt.com/miralem-pjanic/profil/spieler/44162","Central Midfield",29,"Bosnia-Herzegovina",48,43,3,3350,2019
"Juventus FC","Serie A","Italy","Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","Right Midfield",31,"Colombia",49,45,3,3438,2019
"Juventus FC","Serie A","Italy","Aaron Ramsey","https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057","Central Midfield",28,"Wales",43,35,4,1384,2019
"Juventus FC","Serie A","Italy","Daouda Peeters","https://www.transfermarkt.com/daouda-peeters/profil/spieler/365451","Defensive Midfield",20,"Belgium",3,1,0,14,2019
"Juventus FC","Serie A","Italy","Simone Muratore","https://www.transfermarkt.com/simone-muratore/profil/spieler/297648","Central Midfield",21,"Italy",18,5,0,157,2019
"Juventus FC","Serie A","Italy","Manolo Portanova","https://www.transfermarkt.com/manolo-portanova/profil/spieler/394304","Central Midfield",19,"Italy",3,0,0,0,2019
"Juventus FC","Serie A","Italy","Sami Khedira","https://www.transfermarkt.com/sami-khedira/profil/spieler/29401","Central Midfield",32,"Germany",20,18,0,978,2019
"Juventus FC","Serie A","Italy","Blaise Matuidi","https://www.transfermarkt.com/blaise-matuidi/profil/spieler/33923","Central Midfield",32,"France",52,45,1,2885,2019
"Juventus FC","Serie A","Italy","Paulo Dybala","https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050","Second Striker",25,"Argentina",49,46,17,2910,2019
"Juventus FC","Serie A","Italy","Cristiano Ronaldo","https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198","Centre-Forward",34,"Portugal",46,46,37,4081,2019
"Juventus FC","Serie A","Italy","Federico Bernardeschi","https://www.transfermarkt.com/federico-bernardeschi/profil/spieler/197300","Right Winger",25,"Italy",47,38,2,1971,2019
"Juventus FC","Serie A","Italy","Giacomo Vrioni","https://www.transfermarkt.com/giacomo-vrioni/profil/spieler/363178","Centre-Forward",20,"Albania",7,1,0,11,2019
"Juventus FC","Serie A","Italy","Luca Zanimacchia","https://www.transfermarkt.com/luca-zanimacchia/profil/spieler/407265","Right Winger",20,"Italy",8,2,0,119,2019
"Juventus FC","Serie A","Italy","Marko Pjaca","https://www.transfermarkt.com/marko-pjaca/profil/spieler/205940","Left Winger",24,"Croatia",9,1,0,15,2019
"Juventus FC","Serie A","Italy","Douglas Costa","https://www.transfermarkt.com/douglas-costa/profil/spieler/75615","Right Winger",28,"Brazil",31,29,3,1084,2019
"Juventus FC","Serie A","Italy","Marco Olivieri","https://www.transfermarkt.com/marco-olivieri/profil/spieler/346562","Left Winger",20,"Italy",21,4,0,33,2019
"Juventus FC","Serie A","Italy","Kwang-song Han","https://www.transfermarkt.com/kwang-song-han/profil/spieler/402193","Centre-Forward",20,"Korea, North",1,0,0,0,2019
"Juventus FC","Serie A","Italy","Mario Mandzukic","https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572","Centre-Forward",33,"Croatia",3,0,0,0,2019
"Juventus FC","Serie A","Italy","Gonzalo Higuaín","https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153","Centre-Forward",31,"Argentina",46,44,11,2643,2019
"Inter Milan","Serie A","Italy","Filip Stankovic","https://www.transfermarkt.com/filip-stankovic/profil/spieler/552223","Goalkeeper",17,"Serbia",6,0,0,0,2019
"Inter Milan","Serie A","Italy","Samir Handanovic","https://www.transfermarkt.com/samir-handanovic/profil/spieler/28021","Goalkeeper",34,"Slovenia",52,48,0,4320,2019
"Inter Milan","Serie A","Italy","Daniele Padelli","https://www.transfermarkt.com/daniele-padelli/profil/spieler/27807","Goalkeeper",33,"Italy",53,6,0,529,2019
