"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","season"
"SS Lazio","Serie A","Italy","Luca Marchegiani","https://www.transfermarkt.com/luca-marchegiani/profil/spieler/5827","Goalkeeper",28,"Italy",49,48,0,4320,1994
"SS Lazio","Serie A","Italy","Flavio Roma","https://www.transfermarkt.com/flavio-roma/profil/spieler/5281","Goalkeeper",20,"Italy",1,0,0,0,1994
"SS Lazio","Serie A","Italy","Fernando Orsi","https://www.transfermarkt.com/fernando-orsi/profil/spieler/224942","Goalkeeper",34,"Italy",41,2,0,180,1994
"SS Lazio","Serie A","Italy","Daniele Adani","https://www.transfermarkt.com/daniele-adani/profil/spieler/5774","Centre-Back",19,"Italy",2,1,0,44,1994
"SS Lazio","Serie A","Italy","Mauro Bonomi","https://www.transfermarkt.com/mauro-bonomi/profil/spieler/24296","Centre-Back",21,"Italy",12,7,0,279,1994
"SS Lazio","Serie A","Italy","José Chamot","https://www.transfermarkt.com/jose-chamot/profil/spieler/5805","Centre-Back",25,"Argentina",43,43,1,3739,1994
"SS Lazio","Serie A","Italy","Giuseppe Favalli","https://www.transfermarkt.com/giuseppe-favalli/profil/spieler/5832","Left-Back",22,"Italy",32,32,1,2575,1994
"SS Lazio","Serie A","Italy","Paolo Negro","https://www.transfermarkt.com/paolo-negro/profil/spieler/5835","Centre-Back",22,"Italy",48,48,8,4221,1994
"SS Lazio","Serie A","Italy","Alessandro Nesta","https://www.transfermarkt.com/alessandro-nesta/profil/spieler/4171","Centre-Back",18,"Italy",19,12,0,883,1994
"SS Lazio","Serie A","Italy","Giovanni Orfei","https://www.transfermarkt.com/giovanni-orfei/profil/spieler/6048","Centre-Back",18,"Italy",0,0,0,0,1994
"SS Lazio","Serie A","Italy","Cristiano Bergodi","https://www.transfermarkt.com/cristiano-bergodi/profil/spieler/166544","Centre-Back",29,"Italy",42,33,1,2536,1994
"SS Lazio","Serie A","Italy","Basile Boli","https://www.transfermarkt.com/basile-boli/profil/spieler/101109","Centre-Back",27,"France",0,0,0,0,1994
"SS Lazio","Serie A","Italy","Roberto Cravero","https://www.transfermarkt.com/roberto-cravero/profil/spieler/118250","Sweeper",30,"Italy",40,37,4,2889,1994
"SS Lazio","Serie A","Italy","Roberto Bacci","https://www.transfermarkt.com/roberto-bacci/profil/spieler/224927","Centre-Back",27,"Italy",35,16,1,720,1994
"SS Lazio","Serie A","Italy","Leonardo Colucci","https://www.transfermarkt.com/leonardo-colucci/profil/spieler/6000","Central Midfield",21,"Italy",14,3,1,115,1994
"SS Lazio","Serie A","Italy","Domenico Cristiano","https://www.transfermarkt.com/domenico-cristiano/profil/spieler/22314","Defensive Midfield",18,"Italy",0,0,0,0,1994
"SS Lazio","Serie A","Italy","Ivano Della Morte","https://www.transfermarkt.com/ivano-della-morte/profil/spieler/5926","Central Midfield",19,"Italy",3,2,0,102,1994
"SS Lazio","Serie A","Italy","Thomas Doll","https://www.transfermarkt.com/thomas-doll/profil/spieler/1455","Attacking Midfield",28,"Germany",3,2,2,99,1994
"SS Lazio","Serie A","Italy","Diego Fuser","https://www.transfermarkt.com/diego-fuser/profil/spieler/5952","Right Midfield",25,"Italy",46,45,7,3829,1994
"SS Lazio","Serie A","Italy","Paul Gascoigne","https://www.transfermarkt.com/paul-gascoigne/profil/spieler/3830","Attacking Midfield",27,"England",4,4,0,223,1994
"SS Lazio","Serie A","Italy","Giorgio Venturin","https://www.transfermarkt.com/giorgio-venturin/profil/spieler/180554","Central Midfield",25,"Italy",47,33,1,2141,1994
"SS Lazio","Serie A","Italy","Aron Winter","https://www.transfermarkt.com/aron-winter/profil/spieler/4324","Central Midfield",27,"Netherlands",43,43,6,3698,1994
"SS Lazio","Serie A","Italy","Roberto Di Matteo","https://www.transfermarkt.com/roberto-di-matteo/profil/spieler/103679","Central Midfield",24,"Italy",43,42,1,3736,1994
"SS Lazio","Serie A","Italy","Vincenzo De Sio","https://www.transfermarkt.com/vincenzo-de-sio/profil/spieler/224931","midfield",21,"Italy",15,1,0,9,1994
"SS Lazio","Serie A","Italy","Marco Di Vaio","https://www.transfermarkt.com/marco-di-vaio/profil/spieler/4170","Centre-Forward",17,"Italy",18,13,4,525,1994
"SS Lazio","Serie A","Italy","Alessandro Iannuzzi","https://www.transfermarkt.com/alessandro-iannuzzi/profil/spieler/22276","Centre-Forward",18,"Italy",0,0,0,0,1994
"SS Lazio","Serie A","Italy","Giuseppe Signori","https://www.transfermarkt.com/giuseppe-signori/profil/spieler/3526","Centre-Forward",26,"Italy",40,39,21,3215,1994
"SS Lazio","Serie A","Italy","Stefano Bellè","https://www.transfermarkt.com/stefano-belle/profil/spieler/22266","Left Winger",17,"Italy",0,0,0,0,1994
"SS Lazio","Serie A","Italy","Roberto Rambaudi","https://www.transfermarkt.com/roberto-rambaudi/profil/spieler/223111","Right Winger",28,"Italy",47,46,5,3544,1994
"SS Lazio","Serie A","Italy","Alen Boksic","https://www.transfermarkt.com/alen-boksic/profil/spieler/3571","Centre-Forward",24,"Croatia",33,33,11,2647,1994
"SS Lazio","Serie A","Italy","Pierluigi Casiraghi","https://www.transfermarkt.com/pierluigi-casiraghi/profil/spieler/102485","Centre-Forward",25,"Italy",47,47,15,2895,1994
"Calcio Padova","Serie C - Girone A","Italy","Adriano Bonaiuti","https://www.transfermarkt.com/adriano-bonaiuti/profil/spieler/16983","Goalkeeper",27,"Italy",37,37,0,3340,1994
"Calcio Padova","Serie C - Girone A","Italy","Ennio Dal Bianco","https://www.transfermarkt.com/ennio-dal-bianco/profil/spieler/228306","Goalkeeper",31,"Italy",34,1,0,19,1994
"Calcio Padova","Serie C - Girone A","Italy","David Balleri","https://www.transfermarkt.com/david-balleri/profil/spieler/21182","Right-Back",25,"Italy",34,34,1,2910,1994
"Calcio Padova","Serie C - Girone A","Italy","Gianluca Zattarin","https://www.transfermarkt.com/gianluca-zattarin/profil/spieler/24334","Centre-Back",20,"Italy",13,4,1,323,1994
"Calcio Padova","Serie C - Girone A","Italy","Michel Kreek","https://www.transfermarkt.com/michel-kreek/profil/spieler/9858","Left-Back",23,"Netherlands",25,25,7,2224,1994
"Calcio Padova","Serie C - Girone A","Italy","Alexi Lalas","https://www.transfermarkt.com/alexi-lalas/profil/spieler/91919","Centre-Back",24,"United States",36,36,3,3270,1994
"Calcio Padova","Serie C - Girone A","Italy","Cristian Servidei","https://www.transfermarkt.com/cristian-servidei/profil/spieler/84412","Centre-Back",21,"Italy",6,3,0,29,1994
"Calcio Padova","Serie C - Girone A","Italy","Andrea Cuicchi","https://www.transfermarkt.com/andrea-cuicchi/profil/spieler/228305","Sweeper",26,"Italy",20,19,0,1692,1994
"Calcio Padova","Serie C - Girone A","Italy","Franco Gabrieli","https://www.transfermarkt.com/franco-gabrieli/profil/spieler/228308","Defender",31,"Italy",35,35,2,2953,1994
"Calcio Padova","Serie C - Girone A","Italy","Massimiliano Rosa","https://www.transfermarkt.com/massimiliano-rosa/profil/spieler/228317","Centre-Back",23,"Italy",33,21,1,1480,1994
"Calcio Padova","Serie C - Girone A","Italy","Agostino Siviero","https://www.transfermarkt.com/agostino-siviero/profil/spieler/448922","Defender",22,"Italy",1,0,0,0,1994
"Calcio Padova","Serie C - Girone A","Italy","Gaetano Fontana","https://www.transfermarkt.com/gaetano-fontana/profil/spieler/21150","Central Midfield",24,"Italy",14,9,0,171,1994
"Calcio Padova","Serie C - Girone A","Italy","Gianni Cavezzi","https://www.transfermarkt.com/gianni-cavezzi/profil/spieler/223338","Right Midfield",24,"Italy",13,9,0,475,1994
"Calcio Padova","Serie C - Girone A","Italy","Maurizio Coppola","https://www.transfermarkt.com/maurizio-coppola/profil/spieler/223459","Central Midfield",29,"Italy",26,18,1,1068,1994
